55,Need cat help,Need north bay cat sitter (4-5 visits / week) for month of May.,68,"Sausalito, CA",Pet Sitting,2018-03-13 02:57:46,2018-03-13 02:57:47
56,Please feed pet horse,Need someone to feed race horse at his stable in Pacifica.,68,"Pacifica, CA",Pet Sitting,2018-03-13 02:57:46,2018-03-13 02:57:47
57,Feed cats once a day,Four cats in my house need new food & water 1x / day.,68,"San Jose, CA",Pet Sitting,2018-03-13 02:57:46,2018-03-13 02:57:47
58,Bloodhound needs walking,Very nice bloodhound needs walking M / W / F this month.,68,"Milpitas, CA",Dog Walking,2018-03-13 02:57:46,2018-03-13 02:57:47
59,Please walk my terrier,Small terrier needs walking 2x / day. Must love dogs.,68,"Castro Valley, CA",Dog Walking,2018-03-13 02:57:46,2018-03-13 02:57:47
60,2 golden labs need lots of walks,2 big but friendly golden labs need to get walked for two weeks. ,68,"Pinol, CA",Dog Walking,2018-03-13 02:57:46,2018-03-13 02:57:47
61,Walk my dogs 3x / day,My three dogs need to get walked 3X / day. Please help. They are good dogs.,68,"Vallego, CA",Dog Walking,2018-03-13 02:57:46,2018-03-13 02:57:47
62,Need help while travelling for good dogs,Two English bull dogs need food and walking all of next week.,68,"Alameda, CA",Dog Walking,2018-03-13 02:57:46,2018-03-13 02:57:47
63,Please pickup Amazon delivery,Expensive special delivery comes in tomorrow. Need someone in the PM to bring it in house.,68,"Mountain View, CA",MailBox / Package Pickup,2018-03-13 02:57:46,2018-03-13 02:57:47
64,Pick up mail while on vacay,Needs someone to pick up mail 1X / day for 10 days.,68,"San Francisco, CA",MailBox / Package Pickup,2018-03-13 02:57:46,2018-03-13 02:57:47
65,Needs signer for FedEx,Need someone to hang out at house for 2 hours to sign for FedEx,68,"Sausalito, CA",MailBox / Package Pickup,2018-03-13 02:57:46,2018-03-13 02:57:47
66,Wait for Amazon delivery,Need someone to bring in Amazon delivery before it gets wet from rain.,68,"Pacifica, CA",MailBox / Package Pickup,2018-03-13 02:57:46,2018-03-13 02:57:47
67,USPS dropoff,1-2 packages / day need to be dropped off at USPS. Please contact me.,68,"San Jose, CA",MailBox / Package Pickup,2018-03-13 02:57:46,2018-03-13 02:57:47
68,PO Box pickup,"Need someone to pick up PO BOX, and drop off at my house 1x / week through summer.",68,"Milpitas, CA",MailBox / Package Pickup,2018-03-13 02:57:46,2018-03-13 02:57:47
